#	"Threat - Level 1"	"Threat - Level 2"	"Level 1 Definition"	"Level 2 Definition"	Examples
T60.20	"Human Intrusions & Disturbance"	"War, Civil Unrest & Military Exercises"	"Threats from human activities that alter, destroy and disturb habitats and species associated with non-consumptive uses of biological resources"	"Actions by formal or paramilitary forces without a permanent footprint"	"armed conflict, mine fields, tanks & other military vehicles, training exercises & ranges, defoliation, munitions testing"
T60.30	"Human Intrusions & Disturbance"	"Work & Other Activities"	"Threats from human activities that alter, destroy and disturb habitats and species associated with non-consumptive uses of biological resources"	"People spending time in or traveling in natural environments for reasons other than recreation or military activities"	"law enforcement, drug smugglers, illegal immigrants, species research, vandalism"
T70.10	"Natural System Modifications"	"Fire & Fire Suppression"	"Threats from actions that convert or degrade habitat in service of “managing” natural or semi-natural systems, often to improve human welfare"	"Suppression or increase in fire frequency and/or intensity outside of its natural range of variation"	"fire suppression to protect homes, inappropriate fire management, escaped agricultural fires, arson, campfires, fires for hunting"
T70.20	"Natural System Modifications"	"Dams & Water Management/Use"	"Threats from actions that convert or degrade habitat in service of “managing” natural or semi-natural systems, often to improve human welfare"	"Changing water flow patterns from their natural range of variation either deliberately or as a result of other activities"	"dam construction, release of too little or cold water from dam operations, sediment control, change in salt regime, wetland filling for mosquito control, levees and dikes, surface water diversion, groundwater pumping, channelization, ditching, artificial lakes"
T70.30	"Natural System Modifications"	"Other Ecosystem Modifications"	"Threats from actions that convert or degrade habitat in service of “managing” natural or semi-natural systems, often to improve human welfare"	"Other actions that convert or degrade habitat in service of “managing” natural systems to improve human welfare"	"land reclamation projects, abandonment of managed lands, rip-rap along shoreline, mowing grass, tree thinning in parks, beach construction, removal of snags from streams"
T80.10	"Invasive & Other Problematic Species & Genes"	"Invasive Non-Native/Alien Species"	"Threats from non-native and native plants, animals, pathogens/microbes, or genetic materials that have or are predicted to have harmful effects on biodiversity following their introduction, spread and/or increase in abundance"	"Harmful plants, animals, pathogens and other microbes not originally found within the ecosystem(s) in question and directly or indirectly introduced and spread into it by human activities"	"feral cattle, household pets, zebra mussels, Dutch elm disease or chestnut blight, Miconia tree, introduction of species for biocontrol, chytrid fungus affecting amphibians outside of Africa"
T80.20	"Invasive & Other Problematic Species & Genes"	"Problematic Native Species"	"Threats from non-native and native plants, animals, pathogens/microbes, or genetic materials that have or are predicted to have harmful effects on biodiversity following their introduction, spread and/or increase in abundance"	"Harmful plants, animals, or pathogens and other microbes that are originally found within the ecosystem(s) in question, but have become “out-of-balance” or “released” directly or indirectly due to human activities"	"overabundant native deer, overabundant algae due to loss of native grazing fish, native plants that hybridize with other plants, plague affecting rodents"
T80.30	"Invasive & Other Problematic Species & Genes"	"Introduced Genetic Material"	"Threats from non-native and native plants, animals, pathogens/microbes, or genetic materials that have or are predicted to have harmful effects on biodiversity following their introduction, spread and/or increase in abundance"	"Human altered or transported organisms or genes"	"pesticide resistant crops, hatchery salmon, restoration projects using non-local seed stock, genetically modified insects for biocontrol, genetically modified trees, genetically modified salmon"
T91.10	Pollution	"Household Sewage & Urban Waste Water"	"Threats from introduction of exotic and/or excess materials or energy from point and nonpoint sources"	"Water-borne sewage and non-point runoff from housing and urban areas that include nutrients, toxic chemicals and/or sediments"	"Discharge from municipal waste treatment plants, leaking septic systems, untreated sewage, outhouses, oil or sediment from roads, fertilizers and pesticides from lawns and golf-courses, road salt"
T91.20	Pollution	"Industrial & Military Effluents"	"Threats from introduction of exotic and/or excess materials or energy from point and nonpoint sources"	"Water-borne pollutants from industrial and military sources including mining, energy production, and other resource extraction industries that include nutrients, toxic chemicals and/or sediments"	"toxic chemicals from factories, illegal dumping of chemicals, mine tailings, arsenic from gold mining, leakage from fuel tanks, PCBs in river sediments"
T91.30	Pollution	"Agricultural & Forestry Effluents"	"Threats from introduction of exotic and/or excess materials or energy from point and nonpoint sources"	"Water-borne pollutants from agricultural, silivicultural, and aquaculture systems that include nutrients, toxic chemicals and/or sediments including the effects of these pollutants on the site where they are applied"	"nutrient loading from fertilizer run-off, herbicide run-off, manure from feedlots, nutrients from aquaculture, soil erosion"
T91.40	Pollution	"Garbage & Solid Waste"	"Threats from introduction of exotic and/or excess materials or energy from point and nonpoint sources"	"Rubbish and other solid materials including those that entangle wildlife"	"municipal waste, litter from cars, flotsam & jetsam from recreational boats, waste that entangles wildlife, construction debris"
T91.50	Pollution	"Air-Borne Pollutants"	"Threats from introduction of exotic and/or excess materials or energy from point and nonpoint sources"	"Atmospheric pollutants from point and nonpoint sources"	"acid rain, smog from vehicle emissions, excess nitrogen deposition, radioactive fallout, wind dispersion of pollutants or sediments, smoke from forest fires or wood stoves"
T91.60	Pollution	"Excess Energy"	"Threats from introduction of exotic and/or excess materials or energy from point and nonpoint sources"	"Inputs of heat, sound, or light that disturb wildlife or ecosystems"	"noise from highways or airplanes, sonar from submarines that disturbs whales, heated water from power plants, lamps attracting insects, beach lights disorienting turtles, damaging atmospheric radiation resulting from ozone holes"
T100.10	"Geological Events"	Volcanoes	"Threats from catastrophic geological events"	"Volcanic events"	"eruptions, emissions of volcanic gasses"
T100.20	"Geological Events"	Earthquakes/Tsunamis	"Threats from catastrophic geological events"	"Earthquakes and associated events"	"earthquakes, tsunamis"
T100.30	"Geological Events"	Avalanches/Landslides	"Threats from catastrophic geological events"	"Avalanches or landslides"	"avalanches, landslides, mudslides"
T110.10	"Climate Change & Severe Weather"	"Habitat Shifting & Alteration"	"Threats from long-term climatic changes which may be linked to global warming and other severe climatic/weather events that are outside of the natural range of variation, or potentially can wipe out a vulnerable species or habitat"	"Major changes in habitat composition and location"	"sea-level rise, desertification, tundra thawing, coral bleaching"
T110.20	"Climate Change & Severe Weather"	Droughts	"Threats from long-term climatic changes which may be linked to global warming and other severe climatic/weather events that are outside of the natural range of variation, or potentially can wipe out a vulnerable species or habitat"	"Periods in which rainfall falls below the normal range of variation"	"severe lack of rain, loss of surface water sources"
T110.30	"Climate Change & Severe Weather"	"Temperature Extremes"	"Threats from long-term climatic changes which may be linked to global warming and other severe climatic/weather events that are outside of the natural range of variation, or potentially can wipe out a vulnerable species or habitat"	"Periods in which temperatures exceed or go below the normal range of variation"	"heat waves, cold spells, oceanic temperature changes, disappearance of glaciers/sea ice"
T110.40	"Climate Change & Severe Weather"	"Storms & Flooding"	"Threats from long-term climatic changes which may be linked to global warming and other severe climatic/weather events that are outside of the natural range of variation, or potentially can wipe out a vulnerable species or habitat"	"Extreme precipitation and/or wind events"	"thunderstorms, tropical storms, hurricanes, cyclones, tornados, hailstorms, ice storms or blizzards, dust storms, erosion of beaches during storms"
