#	"Threat - Level 1"	"Threat - Level 2"	"Level 1 Definition"	"Level 2 Definition"	Examples
T10.10	"Residential & Commercial Development"	"Housing & Urban Areas"	"Threats from human settlements or other non-agricultural land uses with a substantial footprint"	"Human cities, towns, and settlements including non-housing development typically integrated with housing"	"urban areas, suburbs, villages, vacation homes, shopping areas, offices, schools, hospitals"
T40.20	"Transportation & Service Corridors"	"Utility & Service Lines"	"Threats from long, narrow transport corridors and the vehicles that use them including associated wildlife mortality"	"Transport of energy & resources"	"electrical & phone wires, aqueducts, oil & gas pipelines, electrocution of wildlife"
T40.30	"Transportation & Service Corridors"	"Shipping Lanes"	"Threats from long, narrow transport corridors and the vehicles that use them including associated wildlife mortality"	"Transport on and in freshwater and ocean waterways"	"dredging, canals, shipping lanes, ships running into whales, wakes from cargo ships"
T40.40	"Transportation & Service Corridors"	"Flight Paths"	"Threats from long, narrow transport corridors and the vehicles that use them including associated wildlife mortality"	"Air and space transport"	"flight paths, jets impacting birds"
T50.10	"Biological Resource Use"	"Hunting & Collecting Terrestrial Animals"	"Threats from consumptive use of "wild" biological resources including deliberate and unintentional harvesting effects; also persecution or control of specific species"	"Killing or trapping terrestrial wild animals or animal products for commercial, recreation, subsistence, research or cultural purposes, or for control/persecution reasons; includes accidental mortality/bycatch"	"bushmeat hunting, trophy hunting, fur trapping, insect collecting, honey or bird nest hunting, predator control, pest control, persecution"
T50.20	"Biological Resource Use"	"Gathering Terrestrial Plants"	"Threats from consumptive use of "wild" biological resources including deliberate and unintentional harvesting effects; also persecution or control of specific species"	"Harvesting plants, fungi, and other non-timber/non-animal products for commercial, recreation, subsistence, research or cultural purposes, or for control reasons"	"wild mushrooms, forage for stall fed animals, orchids, rattan, control of host plants to combat timber diseases"
T50.30	"Biological Resource Use"	"Logging & Wood Harvesting"	"Threats from consumptive use of "wild" biological resources including deliberate and unintentional harvesting effects; also persecution or control of specific species"	"Harvesting trees and other woody vegetation for timber, fiber, or fuel, including site preparation and other forestry management practices"	"clear cutting of hardwoods, selective commercial logging of ironwood, pulp operations, fuel wood collection, charcoal production"
T50.40	"Biological Resource Use"	"Fishing & Harvesting Aquatic Resources"	"Threats from consumptive use of "wild" biological resources including deliberate and unintentional harvesting effects; also persecution or control of specific species"	"Harvesting aquatic wild animals or plants for commercial, recreation, subsistence, research or cultural purposes, or for control/persecution reasons; includes accidental mortality/bycatch"	"trawling, blast fishing, spear fishing, shellfish harvesting, whaling, seal hunting, turtle egg collection, live coral collection, seaweed collection"
T60.10	"Human Intrusions & Disturbance"	"Recreational Activities"	"Threats from human activities that alter, destroy and disturb habitats and species associated with non-consumptive uses of biological resources"	"People spending time in nature or traveling in vehicles outside of established transport corridors, usually for recreational reasons"	"off-road vehicles, motorboats, jet-skis, snowmobiles, ultralight planes, dive boats, whale watching, mountain bikes, hikers, birdwatchers, skiers, pets in recreational areas, temporary campsites, caving, rock-climbing"
T60.20	"Human Intrusions & Disturbance"	"War, Civil Unrest & Military Exercises"	"Threats from human activities that alter, destroy and disturb habitats and species associated with non-consumptive uses of biological resources"	"Actions by formal or paramilitary forces without a permanent footprint"	"armed conflict, mine fields, tanks & other military vehicles, training exercises & ranges, defoliation, munitions testing"
T60.30	"Human Intrusions & Disturbance"	"Work & Other Activities"	"Threats from human activities that alter, destroy and disturb habitats and species associated with non-consumptive uses of biological resources"	"People spending time in or traveling in natural environments for reasons other than recreation or military activities"	"law enforcement, drug smugglers, illegal immigrants, species research, vandalism"
T70.10	"Natural System Modifications"	"Fire & Fire Suppression"	"Threats from actions that convert or degrade habitat in service of "managing" natural or semi-natural systems, often to improve human welfare"	"Suppression or increase in fire frequency and/or intensity outside of its natural range of variation"	"fire suppression to protect homes, inappropriate fire management, escaped agricultural fires, arson, campfires, fires for hunting"
T70.20	"Natural System Modifications"	"Dams & Water Management / Use"	"Threats from actions that convert or degrade habitat in service of "managing" natural or semi-natural systems, often to improve human welfare"	"Changing water flow patterns from their natural range of variation either deliberately or as a result of other activities"	"dam construction, dam operations, sediment control, change in salt regime, wetland filling for mosquito control, levees and dikes, surface water diversion, groundwater pumping, channelization, artificial lakes"
T70.30	"Natural System Modifications"	"Other Ecosystem Modifications"	"Threats from actions that convert or degrade habitat in service of "managing" natural or semi-natural systems, often to improve human welfare"	"Other actions that convert or degrade habitat in service of "managing" natural systems to improve human welfare"	"land reclamation projects, rip-rap along shoreline, mowing grass, tree thinning in parks, beach construction, removal of snags from streams"
T70.40	"Natural System Modifications"	"Removing / Reducing Human Maintenance"	"Threats from actions that convert or degrade habitat in service of "managing" natural or semi-natural systems, often to improve human welfare"	"Absence or reduction of current or historical maintenance regimes important for key ecological attributes. Includes regimes historically maintained by protected area staff, farmers and ranchers, indigenous peoples, private landowners, or any other resource manager."	"lack of mowing of meadows, reduction in controlled burns, lack of indigenous management of key ecosystems, ceasing supplemental feeding of condors"
T80.10	"Invasive & Problematic Species, Pathogens & Genes"	"Invasive Non-Native / Alien Plants & Animals"	"Threats from non-native and native plants, animals, pathogens/microbes, or genetic materials that have or are predicted to have harmful effects on biodiversity following their introduction, spread and/or increase in abundance or virulence"	"Harmful plants and animals not originally found within the ecosystem(s) in question and directly or indirectly introduced and spread into it by human activities"	"feral horses, feral household pets, zebra mussels, Miconia tree, introduction of species for biocontrol"
T80.20	"Invasive & Problematic Species, Pathogens & Genes"	"Problematic Native Plants & Animals"	"Threats from non-native and native plants, animals, pathogens/microbes, or genetic materials that have or are predicted to have harmful effects on biodiversity following their introduction, spread and/or increase in abundance or virulence"	"Harmful plants and animals, that are originally found within the ecosystem(s) in question, but have become "out-of-balance" or "released" directly or indirectly due to human activities"	"overabundant native deer, overabundant algae due to loss of native grazing fish, plague affecting rodents, invasive grasses native plants that hybridize with other plants, plague affecting rodents"
T80.30	"Invasive & Problematic Species, Pathogens & Genes"	"Introduced Genetic Material"	"Threats from non-native and native plants, animals, pathogens/microbes, or genetic materials that have or are predicted to have harmful effects on biodiversity following their introduction, spread and/or increase in abundance or virulence"	"Human altered or transported organisms or genes"	"pesticide resistant crops, hatchery salmon, restoration projects using non-local seed stock, genetically modified insects for biocontrol, genetically modified trees, genetically modified salmon"
T80.40	"Invasive & Problematic Species, Pathogens & Genes"	"Pathogens & Microbes"	"Threats from non-native and native plants, animals, pathogens/microbes, or genetic materials that have or are predicted to have harmful effects on biodiversity following their introduction, spread and/or increase in abundance or virulence"	"Harmful native and non-native agents that cause disease or illness to a host, including bacteria, viruses, prions, fungi, and other microorganisms"	"plague affecting rodents, Dutch elm disease or chestnut blight, Chytrid fungus affecting amphibians outside of Africa"
T90.10	Pollution	"Household Sewage & Urban Waste Water"	"Threats from introduction of exotic and/or excess materials or energy from point and nonpoint sources"	"Water-borne sewage and non-point runoff from housing and urban areas that include nutrients, toxic chemicals and/or sediments"	"discharge from municipal waste treatment plants, leaking septic systems, untreated sewage, outhouses, oil or sediment from roads, fertilizers and pesticides from lawns and golf-courses, road salt"
T90.20	Pollution	"Industrial & Military Effluents"	"Threats from introduction of exotic and/or excess materials or energy from point and nonpoint sources"	"Water-borne pollutants from industrial and military sources including mining, energy production and other resource extraction industries that include nutrients, toxic chemicals and/or sediments"	"toxic chemicals from factories, illegal dumping of chemicals, mine tailings, arsenic from gold mining, leakage from fuel tanks, PCBs in river sediments"
T90.30	Pollution	"Agricultural & Forestry Effluents"	"Threats from introduction of exotic and/or excess materials or energy from point and nonpoint sources"	"Water-borne pollutants from agricultural, silivicultural, and aquaculture systems that include nutrients, toxic chemicals and/or sediments including the effects of these pollutants on the site where they are applied"	"nutrient loading from fertilizer run-off, herbicide run-off, manure from feedlots, nutrients from aquaculture, soil erosion"
T90.40	Pollution	"Garbage & Solid Waste"	"Threats from introduction of exotic and/or excess materials or energy from point and nonpoint sources"	"Rubbish and other solid materials including those that entangle wildlife"	"municipal waste, litter from cars, flotsam & jetsam from recreational boats, waste that entangles wildlife, construction debris"
T90.50	Pollution	"Air-Borne Pollutants"	"Threats from introduction of exotic and/or excess materials or energy from point and nonpoint sources"	"Atmospheric pollutants from point and nonpoint sources"	"acid rain, smog from vehicle emissions, excess nitrogen deposition, radioactive fallout, wind dispersion of pollutants or sediments from farm fields, smoke from forest fires or wood stoves"
T90.60	Pollution	"Excess Energy"	"Threats from introduction of exotic and/or excess materials or energy from point and nonpoint sources"	"Inputs of heat, sound or light that disturb wildlife or ecosystems"	"noise from highways or airplanes, sonar from submarines that disturbs whales, heated water from power plants, lamps attracting insects, beach lights disorienting turtles, atmospheric radiation from ozone holes"
T100.10	"Geological Events"	Volcanoes	"Threats from catastrophic geological events"	"Volcanic events"	"eruptions, emissions of volcanic gasses"
T100.20	"Geological Events"	Earthquakes/Tsunamis	"Threats from catastrophic geological events"	"Earthquakes and associated events"	"earthquakes, tsunamis"
T100.30	"Geological Events"	Avalanches/Landslides	"Threats from catastrophic geological events"	"Avalanches or landslides"	"avalanches, landslides, mudslides"
T110.10	"Climate Change"	"Ecosystem Encroachment"	"Change in climate patterns (e.g. those resulting from increased atmospheric greenhouse gases like CO2) and/or events outside the natural range of variation that could wipe out a vulnerable species or ecosystem"	"Large-scale effects of ecosystems shifting and impinging on other species and ecosystems"	"sea level rise (inundation of shoreline ecosystems, drowning of coral reefs), desertification (sand dune encroachment)"
T110.20	"Climate Change"	"Changes in Geochemical Regimes"	"Change in climate patterns (e.g. those resulting from increased atmospheric greenhouse gases like CO2) and/or events outside the natural range of variation that could wipe out a vulnerable species or ecosystem"	"Broad-scale changes in the geochemical conditions of ecosystems including ocean acidification"	"ocean acidification, changes in atmospheric CO2 affecting plant growth, loss of sediment leading to broad-scale subsidence"
T110.30	"Climate Change"	"Changes in Temperature Regimes"	"Change in climate patterns (e.g. those resulting from increased atmospheric greenhouse gases like CO2) and/or events outside the natural range of variation that could wipe out a vulnerable species or ecosystem"	"Broad-scale changes in temperature mean, variability, seasonality and extremes, including changes in temperature extremes, increased average summer temperature, and decreased minimum winter/spring temperature"	"heat waves, cold spells, oceanic temperature changes, melting of glaciers/sea ice"
T110.40	"Climate Change"	"Changes in Precipitation & Hydrological Regimes"	"Change in climate patterns (e.g. those resulting from increased atmospheric greenhouse gases like CO2) and/or events outside the natural range of variation that could wipe out a vulnerable species or ecosystem"	"Broad-scale changes in precipitation mean, variability, seasonality, and extremes, including decreased or increased precipitation, changes in timing of precipitation, changes in form of precipitation (e.g. snow vs rain; snowcover and snowpack where applicable), changes in evapotranspiration rates and hydrological cycles, and droughts and floods"	"droughts, changes in timing of rains, loss of snowcover, increased severity of floods"
T110.50	"Climate Change"	"Severe / Extreme Weather Events"	"Change in climate patterns (e.g. those resulting from increased atmospheric greenhouse gases like CO2) and/or events outside the natural range of variation that could wipe out a vulnerable species or ecosystem"	"Changes in frequency, timing and/or intensity of storms as well as severe weather events that threaten targets that have lost resilience"	"thunderstorms, tropical storms, hurricanes, cyclones, tornadoes, hailstorms, ice storms or blizzards, dust storms, erosion of beaches during storms"
