#	"Action - Level 1"	"Action - Level 2"	"Action - Level 3"	"Level 1 Definition"	"Level 2 Definition"	"Level 3 Definition"	"Examples"
S30.10.50	"Enabling Condition Actions"	"Conservation Designation & Planning"	"Site Infrastructure"	"Actions to create the conditions necessary for other conservation efforts to succeed"	"Actions directly protecting sites and/or species"	"Building or maintaining the physical infrastructure for protected areas and other conservation sites"	"creating guard posts, border fences, roads, recreational areas"
S30.20.10	"Enabling Condition Actions"	"Legal & Policy Frameworks"	"Laws, Regulations & Codes"	"Actions to create the conditions necessary for other conservation efforts to succeed"	"Actions developing and influencing legislation, policies and voluntary standards affecting conservation"	"Creating, amending, or influencing laws, regulations and codes at all levels"	"advocating for strengthening international wildlife trade laws, writing national legislation for endangered species conservation, proposing state or provincial ballot initiatives to fund conservation, making the case for town sewage regulations, enacting tribal laws governing hunting seasons, creating a roundtable of key soy producers to create standards for responsible soy production"
S30.20.20	"Enabling Condition Actions"	"Legal & Policy Frameworks"	"Policies & Guidelines"	"Actions to create the conditions necessary for other conservation efforts to succeed"	"Actions developing and influencing legislation, policies and voluntary standards affecting conservation"	"Creating, amending, or influencing policies and guidelines at all levels"	"advocating for agency implementation of international wildlife trade laws, writing national policies for endangered species conservation, serving on agency-NGO committee to determine hunting permitting processes, providing support to tribal leaders on environmental matters"
S30.30.10	"Enabling Condition Actions"	"Research & Monitoring"	"Basic Research & Status Monitoring"	"Actions to create the conditions necessary for other conservation efforts to succeed"	"Actions collecting data and transforming it into information to support conservation work"	"Collecting, managing and analyzing data and creating information about any conservation-related factors"	"biological research on the distribution of an endangered bird, setting up a database/scorecard on the status of wetlands in a region, modelling climate change effects, surveying income and attitudes of local community members"
S30.30.20	"Enabling Condition Actions"	"Research & Monitoring"	"Evaluation, Effectiveness Measures & Learning"	"Actions to create the conditions necessary for other conservation efforts to succeed"	"Actions collecting data and transforming it into information to support conservation work"	"Assessing and learning about the effectiveness of conservation work"	"formative evaluation of a conservation project, conducting a systematic review of the effectiveness of an action, creating a database of conservation projects, developing standard classifications"
S30.40.10	"Enabling Condition Actions"	"Education & Training"	"Formal Education"	"Actions to create the conditions necessary for other conservation efforts to succeed"	"Actions enhancing the knowledge and skills of specific individuals"	"Enhancing knowledge and skills of students in a formal degree program"	"creating a high school environmental course, teaching a conservation module in a university course, writing a conservation text book"
S30.40.20	"Enabling Condition Actions"	"Education & Training"	"Training & Individual Capacity Development"	"Actions to create the conditions necessary for other conservation efforts to succeed"	"Actions enhancing the knowledge and skills of specific individuals"	"Enhancing knowledge, skills and information exchange for practitioners, stakeholders, and other relevant individuals in structured settings outside of degree programs"	"coaching a team developing a strategic plan, providing technical assistance to landowners to use better practices, training course in proscribed fire, writing how-to manuals for project managers, elders sharing traditional ecological knowledge"
S30.50.10	"Enabling Condition Actions"	"Institutional Development"	"Internal Organizational Management & Administration"	"Actions to create the conditions necessary for other conservation efforts to succeed"	"Actions creating the institutions needed to support conservation work"	"The basic work needed to establish and operate conservation organizations"	"hiring and managing staff for protected areas or conservation agencies, serving on the board of a conservation organization, managing a conservation program, providing basic support functions for a reserve"
S30.50.20	"Enabling Condition Actions"	"Institutional Development"	"External Organizational Development & Support"	"Actions to create the conditions necessary for other conservation efforts to succeed"	"Actions creating the institutions needed to support conservation work"	"Creating or providing non-financial support & capacity building for conservation organizations"	"providing consulting services to a conservation organization, international volunteers or circuit riders helping to develop organizational capacity, work to create and strengthen courts that can prosecute wildlife crimes, helping catalyze and incubate formation of a new land trust, developing work planning software for conservation organizations"
S30.50.30	"Enabling Condition Actions"	"Institutional Development"	"Alliance & Partnership Development"	"Actions to create the conditions necessary for other conservation efforts to succeed"	"Actions creating the institutions needed to support conservation work"	"Forming and facilitating partnerships, alliances, and networks of organizations"	"convening meetings of local stakeholders in a community reserve, an international forum to share information about wildlife crimes, a membership services association of land trusts, a regional learning network, an international academic society"
S30.50.40	"Enabling Condition Actions"	"Institutional Development"	"Financing Conservation"	"Actions to create the conditions necessary for other conservation efforts to succeed"	"Actions creating the institutions needed to support conservation work"	"Raising and providing funds for conservation work"	"door-to-door fundraising efforts, private foundation or government grants, foundation investments in green businesses, corporate philanthropy, national debt-for-nature swaps"
